APALACHICOLA RAIN.APL
APALACHICOLA_SFWMD RAIN.APLSFWMD
AVON_PARK_2_W RAIN.AVON_PARK_2_W
BARTOW_1_SE RAIN.BARTOW1SE
BUSHNELL RAIN.BUSHNELL
CLERMONT RAIN.CLERMONT
DAYTONA_BEACH RAIN.DTB
DAYTONA_BEACH_SFWMD RAIN.DTBSFWMD
JACKSONVILLE RAIN.JAX
JACKSONVILLE_SFWMD RAIN.JAXSFWMD
KISSIMMEE2 RAIN.KISSIMMEE2
LISBON RAIN.LISBON
MELB_WEATH_OFF RAIN.MELBWEATHOFF 
MIAMI RAIN.MIA
MIAMI_SFWMD RAIN.MIASFWMD
MOBILE RAIN.MOB
MOBILE_SFWMD RAIN.MOBSFWMD
MOUNTAINLAKE RAIN.MOUNTAINLAKE
ORLANDO RAIN.ORL
ORLANDO_SFWMD RAIN.ORLSFWMD
ORLANDO_INT_APT RAIN.ORLANDO_INT_APT
PLANT_CITY RAIN.PLANTCITY
SANFORD RAIN.SANFORD
SAINT_LEO RAIN.SAINTLEO
S65 RAIN.S65
TALLAHASSEE RAIN.TAL
TALLAHASSEE_SFWMD RAIN.TALSFWMD
TAMPA RAIN.TAM
TAMPA_SFWMD RAIN.TAMSFWMD
TITUSVILLE RAIN.TITUSVILLE
WAUCHULA RAIN.WAUCHULA
WEST_PALM_BEACH RAIN.WPB
WEST_PALM_BEACH_SFWMD RAIN.WPBSFWMD
