 16 PERENNIAL CROPS : ROOT ZONE AND WATER USE COEFFICIENT DATA
  CROP  DEPTH(IN) .............  KC  / AWD  ...........................
ALFALFA       0.60 0.75 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.80 0.70
        36 72 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
AVOCADO       0.90 0.90 0.90 0.90 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
BLUEBERRY     1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        12 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
CITRUS        0.90 0.90 0.90 0.90 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        30 60 0.67 0.67 0.33 0.33 0.33 0.33 0.67 0.67 0.67 0.67 0.67 0.67
FERNS         1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        10 20 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
GENERIC CROP  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        24 48 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
GRAPES        0.40 0.40 0.55 0.75 0.80 0.80 0.80 0.80 0.80 0.80 0.70 0.50
        30 60 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40
NURSERY,CNTR. 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         8  8 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
NURSERY,FLD.  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         8 16 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
PASTURE       0.65 0.70 0.75 0.90 0.90 0.95 0.95 0.95 0.90 0.80 0.70 0.65
        36 72 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67
PEACHES       0.70 0.75 0.80 0.85 0.90 1.00 1.00 1.00 0.95 0.80 0.80 0.70
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
PECANS        0.70 0.75 0.80 0.85 0.90 1.00 1.00 1.00 0.95 0.80 0.80 0.70
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
SOD           1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         9 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
SUGARCANE     0.80 0.60 0.55 0.80 0.95 1.00 1.05 1.05 1.05 1.00 0.95 0.90
        18 36 0.65 0.65 0.35 0.35 0.35 0.50 0.65 0.65 0.65 0.65 0.65 0.65
TURF,GOLF     1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         6 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
TURF,LNDSCP.  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        12 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50

 44  ANNUAL CROPS  : ROOT ZONE AND WATER USE COEFFICIENT DATA
   CROP   DEPTH(IN) ...KC...  .....FRACTION ...  ALLOWABLE DEPLETION MIN MAX DEF
BARLEY       12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.60 0.60 0.60 0.90  70  90  80
BEANS,GRN.    8 12 0.95 0.85 0.20 0.33 0.33 0.14 0.45 0.45 0.45 0.45  50  70  57
BEANS,DRY     8 12 1.05 0.30 0.18 0.28 0.36 0.18 0.45 0.45 0.45 0.67  45  60  52
BEETS         8 12 1.00 0.90 0.21 0.36 0.29 0.14 0.50 0.50 0.50 0.50  50  70  60
BROCCOLI      8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50  50  70  60
BRUSSEL SPTS  8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50  70  90  80
CABBAGE       8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.45 0.45 0.45 0.45  70  90  80
CARROTS       8 12 1.00 0.70 0.20 0.30 0.30 0.20 0.35 0.35 0.35 0.35  70 120  95
CAULIFLOWER   8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50  50  70  60
CELERY        8 12 1.00 0.90 0.20 0.32 0.36 0.12 0.20 0.20 0.20 0.20  75  90  82
CLOVER       12 18 1.00 0.90 0.15 0.20 0.55 0.10 0.35 0.35 0.35 0.35  70  90  80
CORN,FIELD   12 18 1.05 0.55 0.16 0.28 0.32 0.24 0.60 0.60 0.60 0.80  65  75  70
CORN,SWEET   12 18 1.05 0.95 0.25 0.25 0.38 0.12 0.35 0.35 0.35 0.35  65  90  77
COTTON       12 24 1.05 0.65 0.17 0.28 0.30 0.25 0.60 0.70 0.60 0.80  45  90  67
CUCUMBER      8 12 0.90 0.80 0.19 0.29 0.38 0.14 0.50 0.50 0.50 0.50  40  65  52
EGGPLANT      8 12 0.95 0.80 0.23 0.31 0.31 0.15 0.40 0.40 0.40 0.40  70  90  80
FIELD CROPS  12 18 1.05 0.60 0.20 0.30 0.30 0.20 0.50 0.50 0.50 0.67  70  90  80
GENERIC CROP  8 12 1.00 0.90 0.25 0.33 0.25 0.17 0.50 0.50 0.50 0.50  70  90  80
GREENS,HERBS  8 12 0.95 0.90 0.33 0.33 0.25 0.09 0.20 0.20 0.20 0.20  70  90  80
LETTUCE       8 12 0.95 0.90 0.27 0.40 0.20 0.13 0.30 0.30 0.30 0.30  77  77  77
MELONS        8 18 0.95 0.65 0.21 0.29 0.33 0.17 0.35 0.35 0.35 0.35  80  80  80
MILLET,FORGE 12 18 1.00 0.30 0.15 0.21 0.39 0.25 0.60 0.60 0.60 0.60  70  90  80
MILLET,GRAIN 12 18 1.00 0.30 0.15 0.21 0.39 0.25 0.60 0.60 0.60 0.90  70  90  80
OATS         12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.60 0.60 0.60 0.90  70  90  80
ONION,DRY     8 12 0.95 0.75 0.10 0.17 0.47 0.26 0.25 0.25 0.25 0.90 100 130 120
ONION,GRN.    8 12 0.95 0.95 0.36 0.43 0.14 0.07 0.25 0.25 0.25 0.25 100 130 115
PEANUTS      12 18 1.00 0.55 0.25 0.32 0.25 0.18 0.50 0.40 0.50 0.50  70  90  80
PEAS          8 12 1.05 0.95 0.25 0.30 0.30 0.15 0.40 0.40 0.40 0.40  60  80  70
PEPPERS,GRN.  8 12 0.95 0.80 0.24 0.28 0.32 0.16 0.35 0.35 0.35 0.35  65  75  70
POTATOES     12 18 1.05 0.70 0.23 0.29 0.29 0.19 0.25 0.25 0.25 0.40  85 110  97
RADISH        6  8 0.80 0.75 0.14 0.29 0.43 0.14 0.33 0.33 0.33 0.33  70  90  80
RICE         12 18 1.20 1.05 0.25 0.25 0.25 0.25 0.00 0.00 0.00 0.00  70  90  80
SMALL GRAINS 12 18 1.05 0.30 0.15 0.21 0.41 0.23 0.58 0.58 0.58 0.90  70  90  80
